School,Nickname,Conference,Location,Home Venue
Virginia Military,Keydets,SoCon,"Lexington, VA",Cameron Hall
Virginia Tech,Hokies,ACC,"Blacksburg, VA",Cassell Coliseum
Wagner,Seahawks,NEC,"Staten Island, NY",Spiro Sports Center
Wake Forest,Demon Deacons,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum
Washington,Huskies,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion
Washington State,Cougars,Pac-12,"Pullman, WA",Beasley Coliseum
Weber State,Wildcats,Big Sky,"Ogden, UT",Dee Events Center
West Virginia,Mountaineers,Big 12,"Morgantown, WV",WVU Coliseum
Western Carolina,Catamounts,SoCon,"Cullowhee, NC",Ramsey Center
Western Illinois,Leathernecks,Summit,"Macomb, IL",Western Hall
Western Kentucky,Hilltoppers,C-USA,"Bowling Green, KY",E. A. Diddle Arena
Western Michigan,Broncos,MAC,"Kalamazoo, MI",University Arena
Wichita State,Shockers,MVC,"Wichita, KS",Charles Koch Arena
William & Mary,Tribe,CAA,"Williamsburg, VA",Kaplan Arena
Winthrop,Eagles,Big South,"Rock Hill, SC",Winthrop Coliseum
Wisconsin,Badgers,Big Ten,"Madison, WI",Kohl Center
Wofford,Terriers,SoCon,"Spartanburg, SC",Benjamin Johnson Arena
Wright State,Raiders,Horizon,"Dayton, OH",Nutter Center
Wyoming,Cowboys,MWC,"Laramie, WY",Arena-Auditorium
Xavier,Musketeers,Big East,"Cincinnati, OH",Cintas Center
Yale,Bulldogs,Ivy,"New Haven, CT",John J. Lee Amphitheater
Youngstown State,Penguins,Horizon,"Youngstown, OH",Beeghly Center
